Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
22,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,,,F9 B4B1039.2,,4 March 2016,23:35
23,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,,,F9 B4,,8 April 2016,20:43
24,KSC,Bangabandhu-1,"3,600 kg",GTO,,,F9 B5B1046.1,,6 May 2016,05:21
25,VAFB,Iridium NEXT,"6,460 kg",Polar,,,F9 B4B1043.2,,27 May 2016,21:39
26,CCAFS,SES-12,"5,384 kg",GTO,,,F9 B4B1040.2,,15 June 2016,14:29
27,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,,,F9 B4B1045.2,,18 July 2016,04:45
28,CCAFS,Telstar 19V,"7,075 kg",GTO,,,F9 B5,,14 August 2016,05:26
29,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B5B1048,,14 January 2017,17:54
30,CCAFS,Merah Putih,"5,800 kg",GTO,,,F9 B5B1046.2,,19 February 2017,14:39
31,CCAFS,Telstar 18V,"7,060 kg",GTO,,,F9 B5,,16 March 2017,06:00
32,VAFB,SAOCOM 1A,"3,000 kg",SSO,,,F9 B5B1048.2,,30 March 2017,22:27
33,KSC,Es'hail 2,"5,300 kg",GTO,,,F9 B5B1047.2,,1 May 2017,11:15
34,VAFB,SSO-A,"~4,000 kg",SSO,,,F9 B5B1046.3,,15 May 2017,23:21
35,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,,,F9 B5,,3 June 2017,21:07
36,CCAFS,GPS III,"4,400 kg",MEO,,,F9 B5,,23 June 2017,19:10
37,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B5B1049.2,,25 June 2017,20:25
38,CCAFS,Nusantara Satu,"4,850 kg",GTO,,,F9 B5B1048.3,,5 July 2017,23:38
39,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,,,F9 B5[268],,14 August 2017,16:31
40,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,,,F9 B5,,24 August 2017,18:51
41,CCAFS,Starlink,"13,620 kg",LEO,,,F9 B5B1049.3,,7 September 2017,14:00
42,VAFB,RADARSAT Constellation,"4,200 kg",SSO,,,F9 B5B1051.2,,9 October 2017,12:37
43,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,,,F9 B5B1056.2,,11 October 2017,22:53:00
44,CCAFS,AMOS-17,"6,500 kg",GTO,,,F9 B5B1047.3,,30 October 2017,19:34
45,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,15 December 2017,15:36
46,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,,,F9 B5,,23 December 2017,01:27
47,CCAFS,JCSat-18,"6,956 kg",GTO,,,F9 B5B1056.3,,8 January 2018,01:00
48,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,31 January 2018,21:25
49,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,,,F9 B5,,22 February 2018,14:17
50,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,6 March 2018,05:33
51,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,30 March 2018,14:14
52,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,,,F9 B5,,2 April 2018,20:30
53,KSC,Starlink,"15,600 kg",LEO,,,F9 B5,,18 April 2018,22:51
54,KSC,Starlink,"15,600 kg",LEO,,,F9 B5,,11 May 2018,20:14
55,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,,,F9 B5,,22 May 2018,19:47
56,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,4 June 2018,04:45
57,CCAFS,Starlink,"15,410 kg",LEO,,,F9 B5,,29 June 2018,09:42
58,CCAFS,GPS III,"4,311 kg",MEO,,,F9 B5,,22 July 2018,05:50
59,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,,,F9 B5B1058.2,,25 July 2018,11:39
60,KSC,Starlink,"14,932 kg",LEO,,,F9 B5,,7 August 2018,05:18
61,CCAFS,Starlink,"~15,440 kg",LEO,,,F9 B5B1049.6,,10 September 2018,04:45
62,CCAFS,SAOCOM 1B,"3,130 kg",SSO,,,F9 B5,,8 October 2018,02:22
63,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1060.2,,15 November 2018,20:46
64,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1058.3,,3 December 2018,18:34:05
65,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1051.6,,5 December 2018,18:16
66,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,23 December 2018,13:51
67,CCAFS,GPS III,"4,311 kg",MEO,,,F9 B5,,11 January 2019,15:31
68,KSC,Crew-1,"~12,500 kg",LEO,,,F9 B5,,22 February 2019,01:45
69,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,,,F9 B5,,2 March 2019,07:49
70,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,4 May 2019,06:48
71,KSC,SpaceX CRS-21,"2,972 kg",LEO,,,F9 B5 ♺,,24 May 2019,02:30
72,CCSFS,SXM-7,"7,000 kg",GTO,,,F9 B5 ♺,,12 June 2019,14:17
73,KSC,NROL-108,C,LEO,,,F9 B5 ♺,,25 July 2019,22:01
74,CCSFS,Türksat 5A,"3,500 kg",GTO,,,F9 B5,,6 August 2019,23:23
75,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1051.8,,11 November 2019,14:56
76,CCSFS,Transporter-1,"~5,000 kg",SSO,,,F9 B5B1058.5,,5 December 2019,17:29
77,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,17 December 2019,00:10
78,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,7 January 2020,02:19:21
79,KSC,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,19 January 2020,15:30
80,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,29 January 2020,14:07
81,KSC,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,17 February 2020,15:05
82,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5B1060.6,,7 March 2020,04:50
83,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,18 March 2020,12:16
84,KSC,Crew-2,"~13,000 kg",LEO,,,F9 B5B1061.2,,22 April 2020,19:30
85,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5B1060.7,,30 May 2020,19:22
86,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1049.9,,4 June 2020,01:25
87,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5B1051.10,,13 June 2020,09:21
88,KSC,Starlink,"~14,000 kg",LEO,,,F9 B5B1058.8,,30 June 2020,20:10:46
89,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5B1063.2,,20 July 2020,21:30
90,KSC,SpaceX CRS-22,"3,328 kg",LEO,,,F9 B5B1067.1,,7 August 2020,05:12
91,CCSFS,SXM-8,"7,000 kg",GTO,,,F9 B5,,18 August 2020,14:31
92,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,,,F9 v1.0B0003.1,,30 August 2020,23:18
93,CCAFS,Dragon,0,LEO,,,F9 v1.0B0004.1,,3 September 2020,12:46:14
94,CCAFS,Dragon,525 kg,LEO,,,F9 v1.0B0005.1,,6 October 2020,11:29:34
95,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,,,F9 v1.0B0006.1,,18 October 2020,12:25:57
96,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,,,F9 v1.0B0007.1,,24 October 2020,15:31:34
97,VAFB,CASSIOPE,500 kg,Polar orbit,,,F9 v1.1B1003,,5 November 2020,23:24:23
98,CCAFS,SES-8,"3,170 kg",GTO,,,F9 v1.1,,16 November 2020,00:27
99,CCAFS,Thaicom 6,"3,325 kg",GTO,,,F9 v1.1,,21 November 2020,17:17:08
100,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,,,F9 v1.1,,25 November 2020,02:13
101,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,,,F9 v1.1,,6 December 2020,16:17:08
102,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,,,F9 v1.1,,13 December 2020,17:30:00
103,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,,,F9 v1.1,,19 December 2020,14:00:00
104,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,,,F9 v1.1,,8 January 2021,02:15
105,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,,,F9 v1.1,,20 January 2021,13:02
106,Cape Canaveral,DSCOVR,570 kg,HEO,,,F9 v1.1,,24 January 2021,15:00
107,Cape Canaveral,ABS-3A,"4,159 kg",GTO,,,F9 v1.1,,4 February 2021,06:19
108,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,,F9 v1.1,,16 February 2021,03:59:37
109,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,,F9 v1.1,,4 March 2021,08:24
110,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,,,F9 v1.1,,11 March 2021,08:13:29
111,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,,,F9 FT,,14 March 2021,10:01
112,VAFB,Jason-3,553 kg,LEO,,,F9 v1.1,,24 March 2021,08:28
113,Cape Canaveral,SES-9,"5,271 kg",GTO,,,F9 FT,,7 April 2021,16:34
114,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,,,F9 FT,,23 April 2021,9:49
115,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,,,F9 FT,,29 April 2021,03:44
116,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,,,F9 FT,,4 May 2021,19:01
117,Cape Canaveral,ABS-2A,"3,600 kg",GTO,,,F9 FT,,9 May 2021,06:42
118,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,,,F9 FT,,15 May 2021,22:56
119,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,,,F9 FT,,26 May 2021,18:59
120,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 FT,,3 June 2021,17:29
121,KSC,SpaceX CRS-10,"2,490 kg",LEO,,,F9 FT,,6 June 2021,04:26
1,KSC,EchoStar 23,"5,600 kg",GTO,,,F9 FT,,4 June 2010,18:45
2,KSC,SES-10,"5,300 kg",GTO,,,F9 FT♺,,8 December 2010,15:43
3,KSC,NROL-76,C,LEO,,,F9 FT,,22 May 2012,07:44
4,KSC,Inmarsat-5 F4,"6,070 kg",GTO,,,F9 FT,,8 October 2012,00:35
5,KSC,SpaceX CRS-11,"2,708 kg",LEO,,,F9 FT,,1 March 2013,15:10
6,KSC,BulgariaSat-1,"3,669 kg",GTO,,,F9 FTB1029.2,,29 September 2013,16:00
7,VAFB,Iridium NEXT,"9,600 kg",LEO,,,F9 FT,,3 December 2013,22:41
8,KSC,Intelsat 35e,"6,761 kg",GTO,,,F9 FT,,6 January 2014,22:06
9,KSC,SpaceX CRS-12,"3,310 kg",LEO,,,F9 B4,,18 April 2014,19:25
10,VAFB,Formosat-5,475 kg,SSO,,,F9 FT,,14 July 2014,15:15
11,KSC,Boeing X-37B,"4,990 kg",LEO,,,F9 B4,,5 August 2014,08:00
12,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B4,,7 September 2014,05:00
13,KSC,SES-11,"5,200 kg",GTO,,,F9 FTB1031.2,,21 September 2014,05:52
14,KSC,Koreasat 5A,"3,500 kg",GTO,,,F9 B4,,10 January 2015,09:47
15,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,,,F9 FTB1035.2,,11 February 2015,23:03
16,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 FTB1036.2,,2 March 2015,03:50
17,CCAFS,Zuma,C,LEO,,,F9 B4,,14 April 2015,20:10
18,CCAFS,GovSat-1,"4,230 kg",GTO,,,F9 FTB1032.2,,27 April 2015,23:03
19,VAFB,Paz,"2,150 kg",SSO,,,F9 FTB1038.2,,28 June 2015,14:21
20,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,,,F9 B4,,22 December 2015,01:29
21,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B4B1041.2,,17 January 2016,18:42
22,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,,,F9 B4B1039.2,,4 March 2016,23:35
23,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,,,F9 B4,,8 April 2016,20:43
24,KSC,Bangabandhu-1,"3,600 kg",GTO,,,F9 B5B1046.1,,6 May 2016,05:21
25,VAFB,Iridium NEXT,"6,460 kg",Polar,,,F9 B4B1043.2,,27 May 2016,21:39
26,CCAFS,SES-12,"5,384 kg",GTO,,,F9 B4B1040.2,,15 June 2016,14:29
27,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,,,F9 B4B1045.2,,18 July 2016,04:45
28,CCAFS,Telstar 19V,"7,075 kg",GTO,,,F9 B5,,14 August 2016,05:26
29,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B5B1048,,14 January 2017,17:54
30,CCAFS,Merah Putih,"5,800 kg",GTO,,,F9 B5B1046.2,,19 February 2017,14:39
31,CCAFS,Telstar 18V,"7,060 kg",GTO,,,F9 B5,,16 March 2017,06:00
32,VAFB,SAOCOM 1A,"3,000 kg",SSO,,,F9 B5B1048.2,,30 March 2017,22:27
33,KSC,Es'hail 2,"5,300 kg",GTO,,,F9 B5B1047.2,,1 May 2017,11:15
34,VAFB,SSO-A,"~4,000 kg",SSO,,,F9 B5B1046.3,,15 May 2017,23:21
35,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,,,F9 B5,,3 June 2017,21:07
36,CCAFS,GPS III,"4,400 kg",MEO,,,F9 B5,,23 June 2017,19:10
37,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B5B1049.2,,25 June 2017,20:25
38,CCAFS,Nusantara Satu,"4,850 kg",GTO,,,F9 B5B1048.3,,5 July 2017,23:38
39,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,,,F9 B5[268],,14 August 2017,16:31
40,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,,,F9 B5,,24 August 2017,18:51
41,CCAFS,Starlink,"13,620 kg",LEO,,,F9 B5B1049.3,,7 September 2017,14:00
42,VAFB,RADARSAT Constellation,"4,200 kg",SSO,,,F9 B5B1051.2,,9 October 2017,12:37
43,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,,,F9 B5B1056.2,,11 October 2017,22:53:00
44,CCAFS,AMOS-17,"6,500 kg",GTO,,,F9 B5B1047.3,,30 October 2017,19:34
45,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,15 December 2017,15:36
46,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,,,F9 B5,,23 December 2017,01:27
47,CCAFS,JCSat-18,"6,956 kg",GTO,,,F9 B5B1056.3,,8 January 2018,01:00
48,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,31 January 2018,21:25
49,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,,,F9 B5,,22 February 2018,14:17
50,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,6 March 2018,05:33
51,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,30 March 2018,14:14
52,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,,,F9 B5,,2 April 2018,20:30
53,KSC,Starlink,"15,600 kg",LEO,,,F9 B5,,18 April 2018,22:51
54,KSC,Starlink,"15,600 kg",LEO,,,F9 B5,,11 May 2018,20:14
55,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,,,F9 B5,,22 May 2018,19:47
56,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,4 June 2018,04:45
57,CCAFS,Starlink,"15,410 kg",LEO,,,F9 B5,,29 June 2018,09:42
58,CCAFS,GPS III,"4,311 kg",MEO,,,F9 B5,,22 July 2018,05:50
59,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,,,F9 B5B1058.2,,25 July 2018,11:39
60,KSC,Starlink,"14,932 kg",LEO,,,F9 B5,,7 August 2018,05:18
61,CCAFS,Starlink,"~15,440 kg",LEO,,,F9 B5B1049.6,,10 September 2018,04:45
62,CCAFS,SAOCOM 1B,"3,130 kg",SSO,,,F9 B5,,8 October 2018,02:22
63,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1060.2,,15 November 2018,20:46
64,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1058.3,,3 December 2018,18:34:05
65,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1051.6,,5 December 2018,18:16
66,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,23 December 2018,13:51
67,CCAFS,GPS III,"4,311 kg",MEO,,,F9 B5,,11 January 2019,15:31
68,KSC,Crew-1,"~12,500 kg",LEO,,,F9 B5,,22 February 2019,01:45
69,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,,,F9 B5,,2 March 2019,07:49
70,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,4 May 2019,06:48
71,KSC,SpaceX CRS-21,"2,972 kg",LEO,,,F9 B5 ♺,,24 May 2019,02:30
72,CCSFS,SXM-7,"7,000 kg",GTO,,,F9 B5 ♺,,12 June 2019,14:17
73,KSC,NROL-108,C,LEO,,,F9 B5 ♺,,25 July 2019,22:01
74,CCSFS,Türksat 5A,"3,500 kg",GTO,,,F9 B5,,6 August 2019,23:23
75,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1051.8,,11 November 2019,14:56
76,CCSFS,Transporter-1,"~5,000 kg",SSO,,,F9 B5B1058.5,,5 December 2019,17:29
77,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,17 December 2019,00:10
78,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,7 January 2020,02:19:21
79,KSC,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,19 January 2020,15:30
80,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,29 January 2020,14:07
81,KSC,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,17 February 2020,15:05
82,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5B1060.6,,7 March 2020,04:50
83,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5 ♺,,18 March 2020,12:16
84,KSC,Crew-2,"~13,000 kg",LEO,,,F9 B5B1061.2,,22 April 2020,19:30
85,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5B1060.7,,30 May 2020,19:22
86,KSC,Starlink,"15,600 kg",LEO,,,F9 B5B1049.9,,4 June 2020,01:25
87,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5B1051.10,,13 June 2020,09:21
88,KSC,Starlink,"~14,000 kg",LEO,,,F9 B5B1058.8,,30 June 2020,20:10:46
89,CCSFS,Starlink,"15,600 kg",LEO,,,F9 B5B1063.2,,20 July 2020,21:30
90,KSC,SpaceX CRS-22,"3,328 kg",LEO,,,F9 B5B1067.1,,7 August 2020,05:12
91,CCSFS,SXM-8,"7,000 kg",GTO,,,F9 B5,,18 August 2020,14:31
92,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,,,F9 v1.0B0003.1,,30 August 2020,23:18
93,CCAFS,Dragon,0,LEO,,,F9 v1.0B0004.1,,3 September 2020,12:46:14
94,CCAFS,Dragon,525 kg,LEO,,,F9 v1.0B0005.1,,6 October 2020,11:29:34
95,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,,,F9 v1.0B0006.1,,18 October 2020,12:25:57
96,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,,,F9 v1.0B0007.1,,24 October 2020,15:31:34
97,VAFB,CASSIOPE,500 kg,Polar orbit,,,F9 v1.1B1003,,5 November 2020,23:24:23
98,CCAFS,SES-8,"3,170 kg",GTO,,,F9 v1.1,,16 November 2020,00:27
99,CCAFS,Thaicom 6,"3,325 kg",GTO,,,F9 v1.1,,21 November 2020,17:17:08
100,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,,,F9 v1.1,,25 November 2020,02:13
101,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,,,F9 v1.1,,6 December 2020,16:17:08
102,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,,,F9 v1.1,,13 December 2020,17:30:00
103,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,,,F9 v1.1,,19 December 2020,14:00:00
104,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,,,F9 v1.1,,8 January 2021,02:15
105,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,,,F9 v1.1,,20 January 2021,13:02
106,Cape Canaveral,DSCOVR,570 kg,HEO,,,F9 v1.1,,24 January 2021,15:00
107,Cape Canaveral,ABS-3A,"4,159 kg",GTO,,,F9 v1.1,,4 February 2021,06:19
108,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,,F9 v1.1,,16 February 2021,03:59:37
109,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,,F9 v1.1,,4 March 2021,08:24
110,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,,,F9 v1.1,,11 March 2021,08:13:29
111,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,,,F9 FT,,14 March 2021,10:01
112,VAFB,Jason-3,553 kg,LEO,,,F9 v1.1,,24 March 2021,08:28
113,Cape Canaveral,SES-9,"5,271 kg",GTO,,,F9 FT,,7 April 2021,16:34
114,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,,,F9 FT,,23 April 2021,9:49
115,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,,,F9 FT,,29 April 2021,03:44
116,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,,,F9 FT,,4 May 2021,19:01
117,Cape Canaveral,ABS-2A,"3,600 kg",GTO,,,F9 FT,,9 May 2021,06:42
118,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,,,F9 FT,,15 May 2021,22:56
119,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,,,F9 FT,,26 May 2021,18:59
120,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 FT,,3 June 2021,17:29
121,KSC,SpaceX CRS-10,"2,490 kg",LEO,,,F9 FT,,6 June 2021,04:26
1,KSC,EchoStar 23,"5,600 kg",GTO,,,F9 FT,,4 June 2010,18:45
2,KSC,SES-10,"5,300 kg",GTO,,,F9 FT♺,,8 December 2010,15:43
3,KSC,NROL-76,C,LEO,,,F9 FT,,22 May 2012,07:44
4,KSC,Inmarsat-5 F4,"6,070 kg",GTO,,,F9 FT,,8 October 2012,00:35
5,KSC,SpaceX CRS-11,"2,708 kg",LEO,,,F9 FT,,1 March 2013,15:10
6,KSC,BulgariaSat-1,"3,669 kg",GTO,,,F9 FTB1029.2,,29 September 2013,16:00
7,VAFB,Iridium NEXT,"9,600 kg",LEO,,,F9 FT,,3 December 2013,22:41
8,KSC,Intelsat 35e,"6,761 kg",GTO,,,F9 FT,,6 January 2014,22:06
9,KSC,SpaceX CRS-12,"3,310 kg",LEO,,,F9 B4,,18 April 2014,19:25
10,VAFB,Formosat-5,475 kg,SSO,,,F9 FT,,14 July 2014,15:15
11,KSC,Boeing X-37B,"4,990 kg",LEO,,,F9 B4,,5 August 2014,08:00
12,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B4,,7 September 2014,05:00
13,KSC,SES-11,"5,200 kg",GTO,,,F9 FTB1031.2,,21 September 2014,05:52
14,KSC,Koreasat 5A,"3,500 kg",GTO,,,F9 B4,,10 January 2015,09:47
15,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,,,F9 FTB1035.2,,11 February 2015,23:03
16,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 FTB1036.2,,2 March 2015,03:50
17,CCAFS,Zuma,C,LEO,,,F9 B4,,14 April 2015,20:10
18,CCAFS,GovSat-1,"4,230 kg",GTO,,,F9 FTB1032.2,,27 April 2015,23:03
19,VAFB,Paz,"2,150 kg",SSO,,,F9 FTB1038.2,,28 June 2015,14:21
20,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,,,F9 B4,,22 December 2015,01:29
21,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B4B1041.2,,17 January 2016,18:42
22,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,,,F9 B4B1039.2,,4 March 2016,23:35
23,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,,,F9 B4,,8 April 2016,20:43
24,KSC,Bangabandhu-1,"3,600 kg",GTO,,,F9 B5B1046.1,,6 May 2016,05:21
25,VAFB,Iridium NEXT,"6,460 kg",Polar,,,F9 B4B1043.2,,27 May 2016,21:39
26,CCAFS,SES-12,"5,384 kg",GTO,,,F9 B4B1040.2,,15 June 2016,14:29
27,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,,,F9 B4B1045.2,,18 July 2016,04:45
28,CCAFS,Telstar 19V,"7,075 kg",GTO,,,F9 B5,,14 August 2016,05:26
29,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B5B1048,,14 January 2017,17:54
30,CCAFS,Merah Putih,"5,800 kg",GTO,,,F9 B5B1046.2,,19 February 2017,14:39
31,CCAFS,Telstar 18V,"7,060 kg",GTO,,,F9 B5,,16 March 2017,06:00
32,VAFB,SAOCOM 1A,"3,000 kg",SSO,,,F9 B5B1048.2,,30 March 2017,22:27
33,KSC,Es'hail 2,"5,300 kg",GTO,,,F9 B5B1047.2,,1 May 2017,11:15
34,VAFB,SSO-A,"~4,000 kg",SSO,,,F9 B5B1046.3,,15 May 2017,23:21
35,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,,,F9 B5,,3 June 2017,21:07
36,CCAFS,GPS III,"4,400 kg",MEO,,,F9 B5,,23 June 2017,19:10
37,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 B5B1049.2,,25 June 2017,20:25
38,CCAFS,Nusantara Satu,"4,850 kg",GTO,,,F9 B5B1048.3,,5 July 2017,23:38
39,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,,,F9 B5[268],,14 August 2017,16:31
40,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,,,F9 B5,,24 August 2017,18:51
41,CCAFS,Starlink,"13,620 kg",LEO,,,F9 B5B1049.3,,7 September 2017,14:00
42,VAFB,RADARSAT Constellation,"4,200 kg",SSO,,,F9 B5B1051.2,,9 October 2017,12:37
43,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,,,F9 B5B1056.2,,11 October 2017,22:53:00
44,CCAFS,AMOS-17,"6,500 kg",GTO,,,F9 B5B1047.3,,30 October 2017,19:34
45,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,15 December 2017,15:36
46,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,,,F9 B5,,23 December 2017,01:27
47,CCAFS,JCSat-18,"6,956 kg",GTO,,,F9 B5B1056.3,,8 January 2018,01:00
48,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,31 January 2018,21:25
49,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,,,F9 B5,,22 February 2018,14:17
50,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,6 March 2018,05:33
51,CCAFS,Starlink,"15,600 kg",LEO,,,F9 B5,,30 March 2018,14:14
52,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,,,F9 B5,,2 April 2018,20:30
53,KSC,Starlink,"15,600 kg",LEO,,,F9 B5,,18 April 2018,22:51
54,KSC,Starlink,"15,600 kg",LEO,,,F9 B5,,11 May 2018,20:14
